X,Y,OBJECTID,ACCPRKID,STREET_NAME,FROM_STR,TO_STR,NUMSPOTS,DURATION,QUALIFIER,STATUS,COMMENTS,DIRECTION,ADJSURFMAT,OBSTRUCT,LOC_HILL,ADDDATE,MODDATE,SDATE,SOURCE,SACC,WINT_PLOW,WINT_MAINT,WINT_ROUTE,WINT_LOS,WINT_MAT,WINT_COMM,WINT_ADDBY,WINT_ADDDATE,WINT_MODBY,WINT_MODDATE
-63.58635939,44.64046375,74797,AP258,SPRING GARDEN RD,ROBIE ST,CARLTON ST,1,HR3,,INS,,E,CONCRETE,N,N,2021/04/01 17:21:15+00,2021/04/01 18:07:44+00,,,,,,,,,,,,,
-63.58333292,44.63889015,74798,AP262,UNIVERSITY AVE,SUMMER ST,ROBIE ST,2,HR3,,INS,,W,GRASS,N,N,2021/04/09 21:13:59+00,2021/05/21 18:05:07+00,,,IN,Y,HRM1,R4,,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 2,,,,
-63.58020587,44.64970531,74799,AP219,GOTTINGEN ST,BRUNSWICK ST,COGSWELL ST,1,HR3,,INS,,N,CONCRETE,N,N,2019/10/22 16:51:58+00,2021/02/25 23:06:03+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R3,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.60519158,44.64779318,74800,AP129,ELM ST,CHEBUCTO RD,OAK ST,1,HR1,,INS,,S,CONGRAS,Y,N,2019/10/22 17:09:06+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RA,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.60060762,44.64770813,74801,AP217,LAWRENCE ST,HARVARD ST,CHEBUCTO LANE,2,HR3,,INS,,NE,CONGRAS,N,N,2019/10/22 15:30:00+00,2020/11/26 02:17:53+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ6,RA,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 2,,,,
-63.57672086,44.63385345,74802,AP218,IVANHOE ST,INGLIS ST,ATLANTIC ST,1,,,INS,,S,CONCRETE,N,N,2019/10/22 16:27:56+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - SPOT(S) = 1,,,,
-63.57339365,44.64719291,74803,AP224,GRANVILLE ST,SACKVILLE ST,PRINCE ST,1,HR3,,INS,,N,CONCRETE,N,N,2019/11/13 17:52:23+00,2020/11/26 02:17:58+00,2019/11/13 03:59:59+00,Parking Management,IN,Y,HRM1,R1,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.56979987,44.63683191,74804,AP228,SMITH ST,BARRINGTON ST,END,1,NTR,,INS,,E,CONGRAS,N,N,2020/02/07 19:16:55+00,2020/11/26 02:17:56+00,,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.58843053,44.65341287,74805,AP158,MAYNARD ST ,HARRIS ST,BUDDY DAYE ST,1,NTR,,INS,,N,GRASS,Y,N,2019/10/18 16:58:20+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R6,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.58373177,44.64130001,74806,AP135,SPRING GARDEN RD,SUMMER ST,ABERDEEN TERR,1,HR1,,INS,,W,CONCRETE,Y,N,2019/10/18 16:58:20+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.58272313,44.63061145,74807,AP211,ROXTON RD,ROBIE ST,MARLBOROUGH AVE,1,NTR,,INS,,SW,CONCRETE,Y,N,2019/10/21 17:37:23+00,2020/11/26 02:17:55+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.58299619,44.63055078,74808,AP210,ROXTON RD,ROBIE ST,MARLBOROUGH AVE,1,NTR,,INS,,SW,CONCRETE,Y,N,2019/10/21 17:37:39+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,SWZ5,,PRI2,,ACCESSIBLE PARKING - NTR - SPOT(S) = 1,,,,
-63.57040713,44.6419428,74809,AP137,MORRIS ST,BARRINGTON ST,HOLLIS ST,1,HR2,,INS,,E,CONCRETE,N,Y,2019/10/18 16:58:20+00,2020/11/26 02:17:58+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM1,R2,PRI2,,ACCESSIBLE PARKING - HR2 - SPOT(S) = 1,,,,
-63.566437,44.66822761,74810,AP49,OCHTERLONEY ST,VICTORIA RD,DUNDAS ST,1,HR3,,INS,,NE,CONCRETE,N,N,2019/10/16 17:26:55+00,2020/11/26 02:17:56+00,2019/09/30 03:00:00+00,Traffic Services,IN,Y,HRM2,R1,PRI2,,ACCESSIBLE PARKING - HR3 - SPOT(S) = 1,,,,
-63.57621937,44.64161549,74811,AP244,BIRMINGHAM ST,MORRIS ST,CLYDE ST,1,HR3,,INS,,S,GRASS,N,N,2020/11/04 18:14:17+00,2020/12/18 23:12:41+00,2020/11/13 03:59:59+00,Traffic Services,IN,Y,HRM1,R4,PRI2,,ACCESSIBLE PARKING - HR1 - SPOT(S) = 1,,,,
-63.57913537,44.64088198,74812,AP254,SOUTH PARK ST,BRENTON PL,MORRIS ST,1,HR3,,INS,,S,CONCRETE,N,N,2021/02/11 00:18:57+00,2021/02/11 00:20:51+00,,,,,,,,,,,,,
-63.57818575,44.64394151,74813,AP253,ARTILLERY PL,BIRMINGHAM ST,DRESDEN ROW,2,HR3,,INS,,E,CONCRETE,N,N,2021/02/10 19:46:17+00,2021/02/10 19:56:52+00,,,,,,,,,,,,,
-63.57769015,44.64259213,74814,AP249,DRESDEN ROW,CLYDE ST,SPRING GARDEN RD,1,HR3,,INS,,N,CONCRETE,N,N,2021/02/10 19:43:32+00,2021/02/10 19:51:31+00,,,,,,,,,,,,,
